çÄñ⁄,,1éûä‘ç~êÖó ÇÃç≈ëÂ,ïΩãœãCâ∑,ì˙è∆éûä‘,ç≈í·ãCâ∑,ç≈çÇãCâ∑,ç~êÖó ÇÃçáåv,êœéZïΩãœãCâ∑,êœéZì˙è∆éûä‘
îNìx,,2022,2022,2022,2022,2022,2022,2022,2022
No,åéì˙,,,,,,,,
1,09-15,0.0,22.9,0.0,21.5,24.5,0.0,22.9,0.0
2,09-16,0.0,24.2,11.5,20.1,28.4,0.0,47.099999999999994,11.5
3,09-17,0.5,25.1,0.9,22.2,27.8,1.0,72.19999999999999,12.4
4,09-18,17.5,25.0,0.3,22.1,27.7,53.0,97.19999999999999,12.700000000000001
5,09-19,7.0,26.5,0.0,24.7,29.1,10.0,123.69999999999999,12.700000000000001
6,09-20,2.0,23.5,0.0,20.3,26.2,4.0,147.2,12.700000000000001
7,09-21,0.5,20.6,1.7,18.4,24.6,1.0,167.79999999999998,14.4
8,09-22,2.0,20.2,1.7,18.2,23.7,2.0,187.99999999999997,16.1
9,09-23,99.0,22.1,0.0,19.9,25.1,215.5,210.09999999999997,16.1
10,09-24,39.0,24.8,5.9,22.3,28.6,64.0,234.89999999999998,22.0
11,09-25,0.0,23.7,5.6,21.6,27.8,0.0,258.59999999999997,27.6
12,09-26,0.0,22.9,7.0,19.3,27.8,0.0,281.49999999999994,34.6
13,09-27,0.0,23.2,9.5,20.6,27.3,0.0,304.69999999999993,44.1
14,09-28,0.0,22.2,4.3,20.0,26.3,0.0,326.8999999999999,48.4
15,09-29,1.5,20.4,0.0,18.5,22.1,4.5,347.2999999999999,48.4
16,09-30,1.0,21.6,11.1,18.0,26.2,0.0,368.8999999999999,59.5
17,10-01,0.0,22.4,11.1,18.2,27.9,0.0,391.2999999999999,70.6
18,10-02,0.0,22.4,10.6,19.1,28.4,0.0,413.6999999999999,81.19999999999999
19,10-03,0.0,22.1,7.2,19.2,26.7,0.0,435.7999999999999,88.39999999999999
20,10-04,0.0,23.0,8.9,19.2,28.0,0.0,458.7999999999999,97.3
21,10-05,1.5,21.9,0.2,17.5,26.6,2.0,480.6999999999999,97.5
22,10-06,4.0,14.9,0.0,13.4,17.5,17.5,495.59999999999985,97.5
23,10-07,7.0,14.4,0.0,12.9,16.3,20.5,509.99999999999983,97.5
24,10-08,0.0,17.2,0.8,13.9,21.7,0.0,527.1999999999998,98.3
25,10-09,0.5,17.3,0.5,15.3,20.8,0.5,544.4999999999998,98.8
26,10-10,2.5,19.9,3.2,16.3,26.4,3.5,564.3999999999997,102.0
27,10-11,0.0,17.7,8.3,14.4,22.5,0.0,582.0999999999998,110.3
28,10-12,0.0,17.7,0.0,16.3,19.6,0.0,599.7999999999998,110.3
29,10-13,0.0,17.3,0.0,15.5,18.8,0.0,617.0999999999998,110.3
30,10-14,0.0,19.8,9.6,16.2,24.1,0.0,636.8999999999997,119.89999999999999
31,10-15,0.0,21.2,9.7,17.7,25.9,0.0,658.0999999999998,129.6
32,10-16,0.0,20.9,8.0,18.0,25.0,0.0,678.9999999999998,137.6
33,10-17,1.0,20.0,0.0,16.4,23.0,2.5,698.9999999999998,137.6
34,10-18,2.5,17.2,2.9,14.4,21.9,4.0,716.1999999999998,140.5
35,10-19,0.0,15.1,3.3,13.0,19.5,0.0,731.2999999999998,143.8
36,10-20,0.0,15.1,10.5,11.3,20.9,0.0,746.3999999999999,154.3
37,10-21,0.0,15.8,10.2,11.3,22.2,0.0,762.1999999999998,164.5
38,10-22,0.0,17.3,4.3,13.3,23.3,0.0,779.4999999999998,168.8
39,10-23,0.0,17.7,9.4,12.9,24.0,0.0,797.1999999999998,178.20000000000002
40,10-24,1.0,14.7,4.9,10.3,21.7,2.5,811.8999999999999,183.10000000000002
41,10-25,1.0,11.4,0.0,9.6,13.9,0.5,823.2999999999998,183.10000000000002
