データ識別番号,農場名,品目,圃場名,測定日,時期,圃場内位置,圃場内位置2,備考1,備考2,備考3,備考4,圧力[kPa]1cm,圧力[kPa]2cm,圧力[kPa]3cm,圧力[kPa]4cm,圧力[kPa]5cm,圧力[kPa]6cm,圧力[kPa]7cm,圧力[kPa]8cm,圧力[kPa]9cm,圧力[kPa]10cm,圧力[kPa]11cm,圧力[kPa]12cm,圧力[kPa]13cm,圧力[kPa]14cm,圧力[kPa]15cm,圧力[kPa]16cm,圧力[kPa]17cm,圧力[kPa]18cm,圧力[kPa]19cm,圧力[kPa]20cm,圧力[kPa]21cm,圧力[kPa]22cm,圧力[kPa]23cm,圧力[kPa]24cm,圧力[kPa]25cm,圧力[kPa]26cm,圧力[kPa]27cm,圧力[kPa]28cm,圧力[kPa]29cm,圧力[kPa]30cm,圧力[kPa]31cm,圧力[kPa]32cm,圧力[kPa]33cm,圧力[kPa]34cm,圧力[kPa]35cm,圧力[kPa]36cm,圧力[kPa]37cm,圧力[kPa]38cm,圧力[kPa]39cm,圧力[kPa]40cm,圧力[kPa]41cm,圧力[kPa]42cm,圧力[kPa]43cm,圧力[kPa]44cm,圧力[kPa]45cm,圧力[kPa]46cm,圧力[kPa]47cm,圧力[kPa]48cm,圧力[kPa]49cm,圧力[kPa]50cm,圧力[kPa]51cm,圧力[kPa]52cm,圧力[kPa]53cm,圧力[kPa]54cm,圧力[kPa]55cm,圧力[kPa]56cm,圧力[kPa]57cm,圧力[kPa]58cm,圧力[kPa]59cm,圧力[kPa]60cm,圧力[kPa]61cm,圧力[kPa]62cm,圧力[kPa]63cm,圧力[kPa]64cm,圧力[kPa]65cm,圧力[kPa]66cm,圧力[kPa]67cm,圧力[kPa]68cm,圧力[kPa]69cm,圧力[kPa]70cm,圧力[kPa]71cm,圧力[kPa]72cm,圧力[kPa]73cm,圧力[kPa]74cm,圧力[kPa]75cm,圧力[kPa]76cm,圧力[kPa]77cm,圧力[kPa]78cm,圧力[kPa]79cm,圧力[kPa]80cm,圧力[kPa]81cm,圧力[kPa]82cm,圧力[kPa]83cm,圧力[kPa]84cm,圧力[kPa]85cm,圧力[kPa]86cm,圧力[kPa]87cm,圧力[kPa]88cm,圧力[kPa]89cm,圧力[kPa]90cm
S-220512-00001,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,278,824,1001,1097,1193,1223,1334,232,232,1360,232,232,1405,1456,1456,232,232,232,1456,232,232,232,232,232,232,232,1365,232,232,232,232,232,232,232,232,1117,232,232,232,232,232,232,1319,1425,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00002,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,606,1375,1420,232,232,1481,232,232,1521,1521,232,232,1521,232,232,232,232,232,1521,232,232,232,232,232,1420,232,232,232,232,232,232,232,1061,232,232,232,232,232,232,950,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00003,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,237,470,1021,1218,232,232,1314,232,232,232,232,232,1314,232,232,232,232,232,232,232,1066,232,232,232,232,232,232,232,232,879,232,232,232,232,232,804,232,232,232,232,1112,1663,273,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00004,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,278,1162,1628,232,232,232,232,1628,232,232,232,232,1547,232,232,232,1531,232,232,232,232,232,232,1309,232,232,232,232,1001,232,232,232,232,232,986,232,232,1259,1734,1056,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00005,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,308,424,819,1248,1582,1749,1784,1815,1850,1916,1971,2017,2042,2047,232,232,2047,232,232,2047,232,232,232,1860,232,232,1713,232,232,232,1628,232,232,232,232,1324,232,232,232,1299,1486,1729,232,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00006,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,677,1446,1724,1875,1906,1911,232,232,232,1885,232,232,232,232,232,232,232,1390,232,232,232,232,232,232,232,1193,232,232,232,232,232,1279,232,232,232,232,232,232,232,232,733,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00007,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,450,1036,1142,1309,1420,232,232,1547,1628,1688,232,232,232,232,1683,232,232,232,232,232,232,232,1319,232,232,232,232,232,1016,232,232,232,232,232,232,900,232,232,232,232,232,232,677,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00008,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,242,849,1425,1658,1759,232,232,1769,232,232,232,232,232,1511,232,232,232,1451,232,232,1456,232,232,232,232,232,1238,232,232,232,232,232,1365,1481,2199,232,232,2057,232,232,232,2042,2153,288,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00009,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,647,1168,232,232,232,1304,232,232,232,232,232,232,232,232,1117,232,232,232,232,232,232,232,232,232,884,232,232,232,232,232,232,1127,232,232,232,232,1223,232,232,1446,1729,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00010,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,879,1324,232,232,232,232,1355,232,232,232,232,232,232,232,1294,232,232,232,232,232,232,232,1279,232,232,232,232,232,232,232,232,232,232,920,232,232,232,232,232,232,844,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00011,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,323,783,1471,1638,232,232,232,1653,232,232,232,232,1648,232,232,232,1648,1739,1825,232,232,232,1880,232,232,232,232,1875,232,232,1845,232,232,232,1840,1845,232,232,1653,232,232,1708,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00012,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,440,960,1324,232,232,232,1395,232,232,232,232,232,232,1395,232,232,232,232,232,232,232,232,232,232,232,879,232,232,232,232,232,232,232,232,232,232,232,834,232,232,232,232,1350,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00013,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,258,546,1061,1274,1577,232,232,1663,232,232,232,232,1698,232,232,1759,232,232,232,232,232,232,1430,232,232,232,232,232,232,1395,232,232,232,232,232,232,232,232,940,232,232,232,232,1375,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00014,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,303,1259,1734,232,232,1845,1971,232,232,232,1825,232,232,232,232,232,232,232,232,232,232,232,1157,232,232,232,232,232,232,232,232,232,232,232,232,783,232,232,232,232,232,1122,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00015,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,485,925,1228,1547,232,232,1693,232,232,232,1719,1759,232,232,232,232,232,1617,232,232,232,232,232,232,1547,232,232,232,232,232,232,1117,232,232,232,232,232,232,232,232,232,1041,1461,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00016,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,318,975,232,232,1157,232,232,232,232,232,1441,1572,1592,232,232,232,232,232,1375,232,232,232,232,232,232,232,232,1092,232,232,232,232,232,232,232,232,1087,232,232,232,232,1253,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00017,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,586,232,232,859,1365,1653,232,232,1769,1804,232,232,232,232,1471,232,232,232,232,232,232,232,232,232,232,1016,232,232,232,232,232,232,232,975,232,232,232,1425,232,232,1466,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00018,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,480,733,232,232,1122,1390,1622,1693,232,232,1713,232,232,1739,232,232,232,232,1688,232,232,232,232,232,232,232,232,905,232,232,232,232,232,232,232,232,232,890,232,232,232,1243,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00019,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,617,232,232,1036,232,232,1380,232,232,232,232,1355,232,232,232,232,232,232,232,232,232,232,1001,232,232,232,232,232,232,232,232,232,232,986,232,232,232,232,232,232,232,900,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00020,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,561,981,1329,232,232,232,1547,232,232,232,232,232,232,232,232,232,1339,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,708,232,232,232,232,232,232,232,884,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00021,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,460,981,1279,1451,1724,1799,1885,1860,1729,1734,232,232,232,232,232,1633,232,232,232,232,232,232,232,1274,232,232,232,232,232,232,232,232,232,232,996,232,232,232,232,1137,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00022,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,263,950,1375,232,232,232,1643,232,232,232,232,232,232,1592,232,232,232,232,232,232,232,232,232,232,232,232,1051,232,232,232,232,232,232,232,232,232,232,232,232,232,232,945,1794,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00023,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,531,834,232,232,1339,232,232,1572,1769,232,232,1804,232,232,232,232,232,1804,232,232,232,232,232,232,232,232,1400,232,232,232,232,232,232,232,232,232,232,232,1021,232,232,232,232,232,1385,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
