データ識別番号,農場名,品目,圃場名,測定日,時期,圃場内位置,圃場内位置2,備考1,備考2,備考3,備考4,圧力[kPa]1cm,圧力[kPa]2cm,圧力[kPa]3cm,圧力[kPa]4cm,圧力[kPa]5cm,圧力[kPa]6cm,圧力[kPa]7cm,圧力[kPa]8cm,圧力[kPa]9cm,圧力[kPa]10cm,圧力[kPa]11cm,圧力[kPa]12cm,圧力[kPa]13cm,圧力[kPa]14cm,圧力[kPa]15cm,圧力[kPa]16cm,圧力[kPa]17cm,圧力[kPa]18cm,圧力[kPa]19cm,圧力[kPa]20cm,圧力[kPa]21cm,圧力[kPa]22cm,圧力[kPa]23cm,圧力[kPa]24cm,圧力[kPa]25cm,圧力[kPa]26cm,圧力[kPa]27cm,圧力[kPa]28cm,圧力[kPa]29cm,圧力[kPa]30cm,圧力[kPa]31cm,圧力[kPa]32cm,圧力[kPa]33cm,圧力[kPa]34cm,圧力[kPa]35cm,圧力[kPa]36cm,圧力[kPa]37cm,圧力[kPa]38cm,圧力[kPa]39cm,圧力[kPa]40cm,圧力[kPa]41cm,圧力[kPa]42cm,圧力[kPa]43cm,圧力[kPa]44cm,圧力[kPa]45cm,圧力[kPa]46cm,圧力[kPa]47cm,圧力[kPa]48cm,圧力[kPa]49cm,圧力[kPa]50cm,圧力[kPa]51cm,圧力[kPa]52cm,圧力[kPa]53cm,圧力[kPa]54cm,圧力[kPa]55cm,圧力[kPa]56cm,圧力[kPa]57cm,圧力[kPa]58cm,圧力[kPa]59cm,圧力[kPa]60cm,圧力[kPa]61cm,圧力[kPa]62cm,圧力[kPa]63cm,圧力[kPa]64cm,圧力[kPa]65cm,圧力[kPa]66cm,圧力[kPa]67cm,圧力[kPa]68cm,圧力[kPa]69cm,圧力[kPa]70cm,圧力[kPa]71cm,圧力[kPa]72cm,圧力[kPa]73cm,圧力[kPa]74cm,圧力[kPa]75cm,圧力[kPa]76cm,圧力[kPa]77cm,圧力[kPa]78cm,圧力[kPa]79cm,圧力[kPa]80cm,圧力[kPa]81cm,圧力[kPa]82cm,圧力[kPa]83cm,圧力[kPa]84cm,圧力[kPa]85cm,圧力[kPa]86cm,圧力[kPa]87cm,圧力[kPa]88cm,圧力[kPa]89cm,圧力[kPa]90cm
S-220512-00001,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,278,824,1001,1097,1193,1223,1334,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1425,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00002,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,606,1375,1420,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,950,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00003,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,237,470,1021,1218,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,745.5,273,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00004,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,278,1162,1628,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,1056,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00005,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,1,,,,,232,232,232,232,232,232,232,232,232,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,232,232,232,232,232,232,232,232,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00006,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,232,232,232,232,232,232,232,232,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00007,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,232,232,232,232,232,232,232,232,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00008,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,232,232,232,232,232,232,232,232,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00009,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,232,232,232,232,232,232,232,232,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00010,Agsoil,ラッカセイ,A,22.05.08,粗耕起,C,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
